"fecha","hora","magnitud","profundidad_km","lugar","latitud","longitud"
"2022-12-06","22:14",4.2,65.99,"41 km SSW of La Libertad, El Salvador",13.1705,-89.5257
"2022-12-04","16:06",4.3,51.779,"84 km S of Acajutla, El Salvador",12.831,-89.8981
"2022-11-29","05:09",4.2,119.395,"El Salvador",13.4791,-89.1418
"2022-11-29","02:56",4.4,48.045,"88 km S of La Libertad, El Salvador",12.6917,-89.4236
"2022-11-20","17:17",4.3,49.978,"65 km S of El Rosario, El Salvador",12.9035,-89.0255
"2022-11-15","10:13",4.5,59.328,"49 km SW of Puerto El Triunfo, El Salvador",12.9857,-88.8906
"2022-11-07","05:42",4.3,170.489,"9 km W of Cojutepeque, El Salvador",13.7033,-89.0171
"2022-11-04","00:30",4.2,45.344,"44 km SW of La Libertad, El Salvador",13.1855,-89.5954
"2022-11-03","22:26",5.7,43,"El Salvador",13.1449,-89.5573
"2022-11-01","07:35",5,10,"110 km SSW of Puerto El Triunfo, El Salvador",12.4505,-89.1116
"2022-10-14","05:19",4.1,60.666,"49 km S of Acajutla, El Salvador",13.1457,-89.8594
"2022-09-30","11:32",5.2,33.453,"106 km SSW of Intipucá, El Salvador",12.2687,-88.3169
"2022-09-24","00:58",4.6,78.827,"35 km SW of Puerto El Triunfo, El Salvador",13.076,-88.799
"2022-09-23","18:14",4,65.066,"36 km SW of La Libertad, El Salvador",13.2283,-89.5369
"2022-09-22","02:31",4,62.192,"32 km SSW of La Libertad, El Salvador",13.2271,-89.4644
"2022-09-14","14:32",4.4,61.755,"9 km S of La Libertad, El Salvador",13.4008,-89.3355
"2022-09-09","03:38",4.3,73.709,"16 km ESE of Acajutla, El Salvador",13.5388,-89.6859
"2022-09-07","04:33",4.2,43.159,"43 km SSW of Acajutla, El Salvador",13.2195,-89.9429
"2022-08-31","21:03",3.7,60.116,"36 km SSE of La Libertad, El Salvador",13.1834,-89.1872
"2022-08-31","01:37",4.4,10,"117 km SSW of Puerto El Triunfo, El Salvador",12.4009,-89.149
"2022-08-19","19:30",4.1,66.303,"46 km SW of Puerto El Triunfo, El Salvador",12.9687,-88.8304
"2022-08-16","21:33",4.2,35,"113 km S of Puerto El Triunfo, El Salvador",12.2544,-88.5134
"2022-08-15","21:44",4.6,60.533,"31 km SW of La Libertad, El Salvador",13.2688,-89.5091
